"End of Period","Credit Number","Region","Country / Economy Code","Country / Economy","Borrower","Credit Status","Service Charge Rate","Currency of Commitment","Project ID","Project Name","Original Principal Amount (US$)","Cancelled Amount (US$)","Undisbursed Amount (US$)","Disbursed Amount (US$)","Repaid to IDA (US$)","Due to IDA (US$)","Exchange Adjustment (US$)","Borrowers Obligation (US$)","Sold 3rd Party (US$)","Repaid 3rd Party (US$)","Due 3rd Party (US$)","Credits Held (US$)","First Repayment Date","Last Repayment Date","Agreement Signing Date","Board Approval Date","Effective Date (Most Recent)","Closed Date (Most Recent)","Last Disbursement Date"
"08/31/2025","IDA24930","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002953","PRIMARY EDUC. & TEAC","52600000","558365.04","0","52085061.75","55246870.96","0.05","0","0.05","0","0","0","0.05","08/15/2003","02/15/2033","06/22/1993","05/13/1993","11/10/1993","06/30/2001","11/20/2001"
"08/31/2025","IDA24960","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002962","FINAN SECT ADJUST CR","100000000","968691.94","0","101737591.72","105941776.1","0","0","0","0","0","0","0","08/15/2003","02/15/2033","06/22/1993","05/20/1993","08/26/1993","06/30/1997","05/29/1998"
"08/31/2025","IDA24961","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002962","FINAN SECT ADJUST CR","1050000","0","0","1100981.18","1116803.95","-0.02","0","-0.02","0","0","0","-0.02","08/15/2003","02/15/2033","03/24/1994","01/14/1994","08/10/1994","03/24/1995","01/06/1995"
"08/31/2025","IDA25830","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002957","UG-Small Towns Water (BD FY94)","42300000","484669.7","0","40939706.01","44190660.5","0.02","0","0.02","0","0","0","0.02","06/01/2004","12/01/2033","05/03/1994","03/17/1994","08/01/1995","06/30/2003","07/29/2004"
"08/31/2025","IDA25870","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002923","TRANSPORT REHABILITATION PROJECT","75000000","21232420.82","0","53329969.18","57429905.98","0","0","0","0","0","0","0","08/01/2004","02/01/2034","05/03/1994","03/25/1994","11/29/1994","12/31/2000","08/13/2001"
"08/31/2025","IDA26030","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002963","Sexually Transmitted Infections","50000000","302249.37","0","48880768.76","53034565.12","0","0","0","0","0","0","0","08/01/2004","02/01/2034","05/03/1994","04/12/1994","07/22/1994","12/31/2002","05/19/2004"
"08/31/2025","IDA26080","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002967","SAC II","80000000","0","0","85735945.09","84988177.85","0","0","0","0","0","0","0","11/01/2004","05/01/2034","06/22/1994","05/10/1994","11/18/1994","12/31/1995","03/27/1996"
"08/31/2025","IDA26081","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002967","SAC II","600000","0","0","592006.79","588153.48","0","0","0","0","0","0","0","11/01/2004","05/01/2034","03/28/1995","12/08/1994","06/01/1995","03/28/1996","03/27/1996"
"08/31/2025","IDA26090","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002977","Cotton Subsector Development Project","14000000","69626.87","0","13775402.67","14625775.42","0.01","0","0.01","0","0","0","0.01","08/01/2004","02/01/2034","06/22/1994","05/10/1994","11/18/1994","12/31/2001","11/27/2002"
"08/31/2025","IDA26790","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002971","District Health","45000000","1116890.04","0","40505319.42","44298294.01","0","0","0","0","0","0","0","03/01/2005","09/01/2034","04/19/1995","02/07/1995","07/17/1995","12/31/2002","05/19/2004"
