"End of Period","Credit Number","Region","Country / Economy Code","Country / Economy","Borrower","Credit Status","Service Charge Rate","Currency of Commitment","Project ID","Project Name","Original Principal Amount (US$)","Cancelled Amount (US$)","Undisbursed Amount (US$)","Disbursed Amount (US$)","Repaid to IDA (US$)","Due to IDA (US$)","Exchange Adjustment (US$)","Borrowers Obligation (US$)","Sold 3rd Party (US$)","Repaid 3rd Party (US$)","Due 3rd Party (US$)","Credits Held (US$)","First Repayment Date","Last Repayment Date","Agreement Signing Date","Board Approval Date","Effective Date (Most Recent)","Closed Date (Most Recent)","Last Disbursement Date"
"08/31/2025","IDA45700","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P110803","UG-Post Primary Educ & Trg APL-1 (FY09)","150000000","12253042.35","0","139255886.53","16134428.69","108251626.98","0","108251626.98","0","0","0","108251626.98","08/15/2019","02/15/2049","08/27/2009","03/31/2009","11/04/2009","07/31/2014","04/16/2015"
"08/31/2025","IDA46260","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P111633","UG-SEC N-Uganda SAF (NUSAF2) (FY09)","100000000","0","0","103377306.3","10906642.65","80574574.08","0","80574574.08","0","0","0","80574574.08","10/15/2019","04/15/2049","08/27/2009","05/28/2009","11/25/2009","02/29/2016","06/17/2016"
"08/31/2025","IDA46720","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P112688","Eastern Africa Agricultural Productivity","30000000","4085.15","0","28844929.59","3097739.06","22880544.65","0","22880544.65","0","0","0","22880544.65","11/15/2019","05/15/2049","02/03/2010","11/12/2009","11/29/2010","12/31/2015","04/20/2016"
"08/31/2025","IDA46790","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P092837","UG-Transport Sector Development Project","190000000","20642208.1","0","159078449.71","15966109.15","130290293.68","0","130290293.68","0","0","0","130290293.68","04/15/2020","10/15/2049","02/03/2010","12/10/2009","07/15/2010","01/31/2016","07/08/2016"
"08/31/2025","IDA47330","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P111556","East Afr Publ Hlth Laborat Net (FY10)","10100000","289725.59","0","9520784.59","960698.59","7808775.84","0","7808775.84","0","0","0","7808775.84","06/15/2020","12/15/2049","08/12/2010","05/25/2010","01/31/2011","03/30/2016","11/04/2016"
"08/31/2025","IDA47420","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P115563","UG-Health Syst. Strength. Project (FY10)","130000000","381044.17","0","125295398.16","12805290.9","104084299.43","0","104084299.43","0","0","0","104084299.43","06/15/2020","12/15/2049","08/12/2010","05/25/2010","02/10/2011","06/30/2017","03/01/2018"
"08/31/2025","IDA47690","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P109224","UG-ATAAS","120000000","2407.86","0","115179981.59","10780123.07","97924227.03","0","97924227.03","0","0","0","97924227.03","10/15/2020","04/15/2050","07/19/2011","06/22/2010","12/20/2011","06/25/2018","11/01/2018"
"08/31/2025","IDA48140","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P101232","UG-PRSC 8","100000000","0","0","100916624","8959908.98","81174038.4","0","81174038.4","0","0","0","81174038.4","02/01/2021","08/01/2050","11/24/2010","09/30/2010","11/25/2010","03/31/2012","11/29/2010"
"08/31/2025","IDA49490","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Cancelled","0.75","XDR","P092837","UG-Transport Sector Development Project","75000000","75000000","0","0","0","0","0","0","0","0","0","0","10/15/2021","04/15/2051","06/05/2012","06/16/2011","10/22/2012","01/31/2016",""
"08/31/2025","IDA49880","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P119737","UG-Electricity Sector Development Proj","120000000","50694086.43","0","60555064.28","4587242.27","53887037.72","0","53887037.72","0","0","0","53887037.72","10/15/2021","04/15/2051","09/02/2011","06/30/2011","10/23/2012","01/31/2019","08/08/2019"
"08/31/2025","IDA49890","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P117979","UG-Financial Sector DPL (1 of 2)","50000000","0","0","48661011","3315230.8","38907697.92","0","38907697.92","0","0","0","38907697.92","12/15/2021","06/15/2051","08/11/2011","06/30/2011","10/13/2011","06/30/2012","11/07/2011"
"08/31/2025","IDA50610","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P097325","UG PRSC-9","100000000","0","0","98671072","6082872.25","82988855.04","0","82988855.04","0","0","0","82988855.04","07/15/2022","01/15/2052","05/14/2012","02/28/2012","09/19/2012","06/30/2013","06/20/2013"
"08/31/2025","IDA51270","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P123204","UG-Water Mgmt & Dev. Project","135000000","1318703.98","0","121598761.79","8050145.97","109781007.17","0","109781007.17","0","0","0","109781007.17","08/15/2022","02/15/2052","05/22/2013","06/26/2012","08/12/2013","12/31/2018","06/05/2019"
"08/31/2025","IDA52230","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying","0.75","XDR","P117876","UG-Support to Municipal Infra Dev","150000000","0","16279.74","138140862.88","6492556.3","126623979.46","0","126623979.46","0","0","0","126640259.2","07/15/2023","01/15/2053","05/22/2013","03/28/2013","09/04/2013","06/30/2024","06/05/2018"
"08/31/2025","IDA52340","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P112334","UG-Energy for Rural Transformation APL2","12000000","744255.66","0","10661493.91","506447.84","9878496","0","9878496","0","0","0","9878496","07/15/2023","01/15/2053","04/09/2014","05/22/2013","10/31/2014","06/30/2016","11/02/2016"
"08/31/2025","IDA52690","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P130471","UG-Competive. & Enterprise. Dev. Project","100000000","183.34","0","92639845.53","3512909.63","86848260.59","0","86848260.59","0","0","0","86848260.59","10/15/2023","04/15/2053","01/31/2014","05/09/2013","06/06/2014","05/31/2022","10/06/2022"
"08/31/2025","IDA53840","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P133590","UG-KIIDP 2","175000000","0","0","157873048.55","4571479.05","150945936.96","0","150945936.96","0","0","0","150945936.96","08/15/2024","02/15/2054","02/16/2015","03/20/2014","05/08/2015","05/31/2023","08/14/2024"
"08/31/2025","IDA53850","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P129408","Regional Pastoral Livelihoods Resilience","40000000","75811.63","0","36296802.1","1047400.75","34584187.32","0","34584187.32","0","0","0","34584187.32","08/15/2024","02/15/2054","07/10/2015","03/18/2014","11/03/2015","12/31/2021","06/05/2023"
"08/31/2025","IDA54060","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P145101","UG-Albertine Reg. Sustainable Dev. Proj","145000000","299766.91","0","132075880.74","3766432.82","125329505.95","0","125329505.95","0","0","0","125329505.95","07/15/2024","01/15/2054","08/24/2015","03/26/2014","12/07/2015","12/31/2022","06/27/2023"
"08/31/2025","IDA54340","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying","0.75","XDR","P125590","Uganda NERAMP","243800000","0","5310483","207318462.59","6283244.08","203916251.08","0","203916251.08","0","0","0","209226734.08","05/15/2024","11/15/2053","02/16/2015","04/30/2014","07/01/2015","12/31/2025","03/10/2025"
"08/31/2025","IDA56110","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying","0.75","XDR","P145037","UG-Agriculture Cluster Develop Project","150000000","0","340345.81","147595817.73","20207321.77","124804674.19","0","124804674.19","0","0","0","125145020","08/15/2021","02/15/2053","09/26/2016","04/09/2015","01/23/2017","05/31/2024","08/27/2024"
"08/31/2025","IDA56120","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P145309","UG-Skills Development Project","100000000","1478883.8","0","97329298.03","13416540.77","82284502.69","0","82284502.69","0","0","0","82284502.69","07/15/2021","01/15/2053","06/24/2016","04/22/2015","10/28/2016","12/31/2022","06/23/2023"
"08/31/2025","IDA56150","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P111556","East Afr Publ Hlth Laborat Net (FY10)","15000000","149198.03","0","14695930.08","1780003.75","12682326.76","0","12682326.76","0","0","0","12682326.76","12/15/2021","06/15/2053","02/11/2016","07/07/2015","03/31/2016","03/30/2021","08/12/2021"
"08/31/2025","IDA56350","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P130871","RCIP 5 - Uganda","75000000","263990.09","0","75515231.69","10318289.22","63735406.99","0","63735406.99","0","0","0","63735406.99","08/15/2021","02/15/2053","02/04/2016","05/22/2015","05/26/2016","08/31/2022","11/20/2023"
"08/31/2025","IDA56450","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P149965","UG-NUSAF3","130000000","0","0","131847169.92","17909308.66","110913302.5","0","110913302.5","0","0","0","110913302.5","08/15/2021","02/15/2053","12/16/2015","05/27/2015","03/14/2016","06/30/2021","01/18/2022"
"08/31/2025","IDA56530","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P133312","Energy for Rural Transform III","135000000","854126.05","0","134721871.35","18557508.46","114329542.57","0","114329542.57","0","0","0","114329542.57","07/01/2021","01/01/2053","12/16/2015","06/05/2015","03/31/2016","06/30/2023","09/23/2024"
"08/31/2025","IDA57220","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P151083","Great Lakes Region Trade Facilitation","14000000","92202.5","0","14111896.98","1690006.55","12008946.56","0","12008946.56","0","0","0","12008946.56","01/15/2022","07/15/2053","03/23/2017","09/25/2015","04/17/2017","12/30/2022","07/05/2023"
"08/31/2025","IDA57970","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P151847","African Centers of Excellence East/South","24000000","1.8","0","23646899.89","2492740.38","20843957.8","0","20843957.8","0","0","0","20843957.8","07/15/2022","01/15/2054","03/17/2017","05/26/2016","07/20/2017","12/31/2023","03/11/2024"
"08/31/2025","IDA58080","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying","0.75","XDR","P133305","UG-Grid Expansion & Reinforcement Proj","100000000","0","7167334.9","89509249.99","10354451.42","79377760.1","0","79377760.1","0","0","0","86545095","08/15/2022","02/15/2054","03/17/2017","05/31/2016","07/17/2017","12/31/2024","09/02/2025"
"08/31/2025","IDA58210","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Repaying","0.75","XDR","P152822","HOA: Support to FD Impacts","50000000","0","0","49591720.88","4422279.36","44031715","0","44031715","0","0","0","44031715","11/15/2022","05/15/2054","06/15/2017","05/31/2016","06/29/2017","12/31/2021","05/20/2021"
"08/31/2025","IDA58970","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying","0.75","XDR","P155186","UG-Improving Delivery of Maternal Svcs","110000000","0","43336.97","109166942.47","9820399.06","97322568.03","0","97322568.03","0","0","0","97365905","02/01/2023","08/01/2054","01/19/2017","08/04/2016","05/26/2017","09/30/2023","04/28/2025"
"08/31/2025","IDA61030","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Terminated","","XDR","P160447","Uganda - SRM-GBV","0","0","0","0","0","0","0","0","0","0","0","0","08/01/2023","02/01/2055","","06/20/2017","06/30/2019","06/30/2022",""
"08/31/2025","IDA61040","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying","0.75","XDR","P160250","Uganda Intergov Fiscal Transfers Program","200000000","0","13607019.29","189342876.24","15171092.33","170477199.21","0","170477199.21","0","0","0","184084218.5","08/01/2023","02/01/2055","04/26/2019","06/27/2017","05/29/2019","06/30/2025","04/19/2024"
"08/31/2025","IDA62330","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying","0.75","XDR","P117876","UG-Support to Municipal Infra Dev","335000000","0","1.61","320723838.46","14556009.45","302249172.89","0","302249172.89","0","0","0","302249174.5","08/15/2024","02/15/2056","02/25/2019","05/15/2018","04/11/2019","06/30/2024","08/07/2024"
"08/31/2025","IDA62760","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing&Repaying","0.75","XDR","P163782","IWMDP","251000000","0","69386606.09","165455055.95","10968835.79","158376474.91","0","158376474.91","0","0","0","227763081","08/15/2024","02/15/2056","03/04/2019","06/14/2018","06/27/2019","01/31/2026","08/06/2025"
"08/31/2025","IDA65380","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing","0.75","XDR","P130471","UG-Competive. & Enterprise. Dev. Project","99800000","7313555.35","1410388.91","88554762.89","0","90798158.99","0","90798158.99","0","0","0","92208547.9","08/15/2026","02/15/2058","11/09/2020","03/02/2020","04/06/2021","11/30/2024","03/06/2025"
"08/31/2025","IDA65650","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing","0.75","XDR","P163836","Irrigation for Climate Resilience","169200000","0","110906114.68","56614384.73","0","57299741.32","0","57299741.32","0","0","0","168205856","08/15/2026","02/15/2058","10/29/2020","06/18/2020","12/17/2020","04/30/2028","06/16/2025"
"08/31/2025","IDA65920","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing","0.75","XDR","P170466","UG Investing in Forests and PAs Project","78200000","0","46822207.16","30861216.26","0","31190272.83","0","31190272.83","0","0","0","78012479.99","08/15/2026","02/15/2058","06/22/2021","04/23/2020","08/18/2021","06/30/2026","06/23/2025"
"08/31/2025","IDA66540","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Terminated","","XDR","P173702","ELRP MPA","0","0","0","0","0","0","0","0","0","0","0","0","11/01/2026","05/01/2058","","05/20/2020","","11/22/2021",""
"08/31/2025","IDA67360","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Disbursed","0.75","XDR","P173906","UG COVID-19 Economic Crisis & Recovery","300000000","0","0","304108911","0","299321568","0","299321568","0","0","0","299321568","09/15/2026","03/15/2058","07/05/2020","06/29/2020","07/15/2020","06/30/2021","07/21/2020"
"08/31/2025","IDA67540","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing","0.75","XDR","P166570","Uganda Secondary Education Expansion","90000000","0","59724752.15","29337101.09","0","30058031.85","0","30058031.85","0","0","0","89782784","09/15/2026","03/15/2058","02/24/2022","07/23/2020","05/19/2022","12/31/2025","06/16/2025"
"08/31/2025","IDA67620","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing","0.75","XDR","P174041","Uganda COVID-19 Response Project","12500000","0","2057.2","12416753.82","0","12589430.8","0","12589430.8","0","0","0","12591488","09/15/2026","03/15/2058","06/30/2021","07/15/2020","08/03/2021","06/30/2025","05/23/2025"
"08/31/2025","IDA67730","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing","0.75","XDR","P160250","Uganda Intergov Fiscal Transfers Program","240000000","0","72798030.03","164890831.26","0","166029649.97","0","166029649.97","0","0","0","238827680","02/15/2027","08/15/2058","06/10/2021","09/14/2020","10/06/2021","12/31/2025","09/19/2024"
"08/31/2025","IDA68000","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Disbursed","0.75","XDR","P155186","UG-Improving Delivery of Maternal Svcs","15000000","5001.76","0","13749607.01","0","14639564.8","0","14639564.8","0","0","0","14639564.8","02/15/2027","08/15/2058","06/22/2021","12/02/2020","09/06/2021","09/30/2023","08/22/2023"
"08/31/2025","IDA68980","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing","0.75","XDR","P171305","Uganda Digital Acceleration Project-GovN","140000000","0","96366676.02","37851925.52","0","38854955.98","0","38854955.98","0","0","0","135221632","08/15/2027","02/15/2059","01/28/2023","06/02/2021","05/17/2023","05/30/2026","06/26/2025"
"08/31/2025","IDA70250","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Effective","0.75","XDR","P171607","UG: INVITE","96000000","0","93888704","0","0","0","0","0","0","0","0","93888704","02/15/2028","08/15/2059","06/16/2023","12/20/2021","11/13/2023","01/31/2027",""
"08/31/2025","IDA70750","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing","0.75","XDR","P166685","UG-Electricity Access Scale-up Project","331500000","0","263709796.66","60026551.26","0","61615931.34","0","61615931.34","0","0","0","325325728","05/15/2028","11/15/2059","02/20/2023","03/31/2022","07/20/2023","06/30/2027","03/14/2025"
"08/31/2025","IDA71200","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing","0.75","XDR","P175660","GKMA Urban Development Program","518000000","0","318586276.21","191261004.04","0","194379995.79","0","194379995.79","0","0","0","512966272","07/01/2028","01/01/2060","11/17/2023","05/31/2022","12/28/2023","12/31/2027","05/29/2025"
"08/31/2025","IDA72610","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Disbursing","0","USD","P173296","Uganda CSAT Project","325000000","0","276081224.43","48918775.57","0","48918775.57","0","48918775.57","0","0","0","325000000","05/01/2033","11/01/2072","02/27/2024","12/22/2022","06/25/2024","12/31/2028","06/20/2025"
"08/31/2025","IDA77340","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Approved","0","USD","P179904","NUSAF IV","250000000","0","250000000","0","0","0","0","0","0","0","0","250000000","07/15/2035","01/15/2075","","04/01/2025","","12/31/2031",""
"08/31/2025","IDA77780","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Approved","0","USD","P510476","Uganda DRDIP II","180500000","0","180500000","0","0","0","0","0","0","0","0","180500000","08/01/2035","02/01/2075","","06/04/2025","","12/31/2031",""
"08/31/2025","IDA77790","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Approved","0","USD","P179397","Uganda Learning Acceleration Program","210000000","0","210000000","0","0","0","0","0","0","0","0","210000000","07/15/2035","01/15/2075","","06/04/2025","","06/30/2030",""
"08/31/2025","IDAA0340","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002939","ECONOMIC RECOVERY CR.","24000000","0","0","24844056.12","27477631.52","0","0","0","0","0","0","0","11/15/1997","05/15/2037","09/30/1987","09/15/1987","10/13/1987","06/30/1991","09/24/1991"
"08/31/2025","IDAA0341","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002939","ECONOMIC RECOVERY CR.","12800000","0","0","13181517.26","14615761.47","0","0","0","0","0","0","0","11/15/1997","05/15/2037","12/18/1989","12/18/1989","01/03/1990","06/30/1992","01/31/1992"
"08/31/2025","IDAN0230","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002987","SAC III","125000000","573760.52","0","119720842.4","132275333.34","0","0","0","0","0","0","0","08/01/2007","02/01/2037","07/10/1997","06/06/1997","09/04/1997","12/31/2001","12/19/2001"
"08/31/2025","IDAN0231","EASTERN AND SOUTHERN AFRICA","UG","Uganda","Ministry of Finance, Planning & Eco. Dev","Fully Repaid","0.75","XDR","P002987","SAC III","25400000","0","0","24686788","28811412","0","0","0","0","0","0","0","08/01/2007","02/01/2037","01/17/2001","12/22/2000","04/25/2001","06/30/2001","05/24/2001"
